,Latitude,Longitude,Material,Name,OBJECTID,geometry
0,61.972,-128.268,Tungsten,CanTung Mine,1,POINT (1311564.70151589 1590163.299669419)
1,64.511,-110.29,Diamond,Diavik Mine,2,POINT (1949718.389552255 2282351.844060449)
2,64.617,-110.133,Diamond,Ekati Mine,3,POINT (1948418.468786509 2296306.871889365)
3,63.505,-109.046,Diamond,Gahcho Kue Mine,4,POINT (2066963.2506373 2231760.504180689)
4,63.55,-116.746,Gold/Cobalt/Bismuth/Copper,NICO Mine,5,POINT (1752838.249981704 2014170.774063473)
5,60.833,-114.468,Zinc/Lead,Pine Point Mine (Tamerlane),6,POINT (2017814.388398555 1824406.355262278)
6,61.55,-124.8,Zinc/Lead/Silver,Prairie Creek Mine,7,POINT (1497617.544684632 1620298.851365933)
7,63.575,-110.867,Diamond,Snap Lake Mine,8,POINT (1990934.05145527 2182285.53157132)
